subid,subjid,exp_chosen,reaction_time
549ea92efdf99b4ffa5fa208,1,0,2.329999924
549ea92efdf99b4ffa5fa208,1,0,1.789000034
549ea92efdf99b4ffa5fa208,1,1,2.854000092
549ea92efdf99b4ffa5fa208,1,1,1.828999996
549ea92efdf99b4ffa5fa208,1,0,1.305999994
549ea92efdf99b4ffa5fa208,1,0,1.641000032
549ea92efdf99b4ffa5fa208,1,0,1.900000095
549ea92efdf99b4ffa5fa208,1,1,2.370000124
549ea92efdf99b4ffa5fa208,1,1,1.64199996
549ea92efdf99b4ffa5fa208,1,0,1.580999851
549ea92efdf99b4ffa5fa208,1,0,1.662000179
549ea92efdf99b4ffa5fa208,1,1,2.512000084
549ea92efdf99b4ffa5fa208,1,1,3.184000015
549ea92efdf99b4ffa5fa208,1,0,2.052000046
549ea92efdf99b4ffa5fa208,1,0,2.55099988
549ea92efdf99b4ffa5fa208,1,0,3.09499979
549ea92efdf99b4ffa5fa208,1,1,2.670000076
549ea92efdf99b4ffa5fa208,1,0,3.463999987
549ea92efdf99b4ffa5fa208,1,0,2.578999996
549ea92efdf99b4ffa5fa208,1,0,1.756000042
549ea92efdf99b4ffa5fa208,1,0,1.782999992
549ea92efdf99b4ffa5fa208,1,1,1.900000095
549ea92efdf99b4ffa5fa208,1,0,1.585999966
549ea92efdf99b4ffa5fa208,1,0,2.518999815
549ea92efdf99b4ffa5fa208,1,0,1.38499999
549ea92efdf99b4ffa5fa208,1,1,2.010999918
549ea92efdf99b4ffa5fa208,1,0,2.149999857
549ea92efdf99b4ffa5fa208,1,1,2.664999962
549ea92efdf99b4ffa5fa208,1,1,6.213999987
549ea92efdf99b4ffa5fa208,1,0,3.55099988
549ea92efdf99b4ffa5fa208,1,0,1.713999987
549ea92efdf99b4ffa5fa208,1,0,2.525000095
549ea92efdf99b4ffa5fa208,1,0,2.769000053
549ea92efdf99b4ffa5fa208,1,1,1.53399992
549ea92efdf99b4ffa5fa208,1,1,2.71600008
549ea92efdf99b4ffa5fa208,1,1,1.50999999
549ea92efdf99b4ffa5fa208,1,1,2.940999985
549ea92efdf99b4ffa5fa208,1,1,2.202000141
549ea92efdf99b4ffa5fa208,1,1,1.125999928
549ea92efdf99b4ffa5fa208,1,0,1.785000086
549ea92efdf99b4ffa5fa208,1,1,5.687000036
549ea92efdf99b4ffa5fa208,1,1,3.196000099
549ea92efdf99b4ffa5fa208,1,0,1.708999872
549ea92efdf99b4ffa5fa208,1,1,4.174999952
549ea92efdf99b4ffa5fa208,1,0,2.145999908
549ea92efdf99b4ffa5fa208,1,1,2.121999979
549ea92efdf99b4ffa5fa208,1,0,4.659000158
549ea92efdf99b4ffa5fa208,1,0,2.674999952
549ea92efdf99b4ffa5fa208,1,0,3.600000143
549ea92efdf99b4ffa5fa208,1,0,2.41899991
55a43687fdf99b7da1908e0f,2,1,2.044
55a43687fdf99b7da1908e0f,2,1,1.4269
55a43687fdf99b7da1908e0f,2,1,1.1602
55a43687fdf99b7da1908e0f,2,0,1.3787
55a43687fdf99b7da1908e0f,2,0,1.3793
55a43687fdf99b7da1908e0f,2,0,1.0935
55a43687fdf99b7da1908e0f,2,0,0.9936
55a43687fdf99b7da1908e0f,2,1,2.2022
55a43687fdf99b7da1908e0f,2,0,1.0503
55a43687fdf99b7da1908e0f,2,1,1.6181
55a43687fdf99b7da1908e0f,2,1,1.1171
55a43687fdf99b7da1908e0f,2,1,0.7842
55a43687fdf99b7da1908e0f,2,0,0.617
55a43687fdf99b7da1908e0f,2,1,2.1689
55a43687fdf99b7da1908e0f,2,1,1.1024
55a43687fdf99b7da1908e0f,2,0,1.4344
55a43687fdf99b7da1908e0f,2,0,1.0336
55a43687fdf99b7da1908e0f,2,1,1.0503
55a43687fdf99b7da1908e0f,2,0,1.3674
55a43687fdf99b7da1908e0f,2,1,1.9017
55a43687fdf99b7da1908e0f,2,0,1.401
55a43687fdf99b7da1908e0f,2,0,1.7353
55a43687fdf99b7da1908e0f,2,0,0.9835
55a43687fdf99b7da1908e0f,2,0,1.6032
55a43687fdf99b7da1908e0f,2,1,1.5659
55a43687fdf99b7da1908e0f,2,1,1.4343
55a43687fdf99b7da1908e0f,2,0,1.0168
55a43687fdf99b7da1908e0f,2,1,2.2694
55a43687fdf99b7da1908e0f,2,1,0.733
55a43687fdf99b7da1908e0f,2,0,1.6848
55a43687fdf99b7da1908e0f,2,0,4.9744
55a43687fdf99b7da1908e0f,2,1,2.6535
